Initialization time,0.0974419

Iteration;Time since initialization (s);Iteration time (s)
360;43.7274;0.11749
361;43.8532;0.125818
362;43.9732;0.119959
363;44.0885;0.115226
364;44.2047;0.116089
365;44.318;0.113343
366;44.4318;0.1137
367;44.5455;0.113679
368;44.6589;0.113348
369;44.7778;0.118864
370;44.8942;0.116395
371;45.0062;0.111943
372;45.1197;0.113466
373;45.2342;0.114523
374;45.3494;0.11512
375;45.4648;0.115357
376;45.577;0.112175
377;45.6917;0.114668
378;45.8143;0.122603
379;45.9299;0.115594
380;46.0432;0.113211
381;46.1582;0.114997
382;46.273;0.114749
383;46.3876;0.114585
384;46.5005;0.112814
385;46.6152;0.114751
386;46.7291;0.113798
387;46.8457;0.116601
388;46.9593;0.113595
389;47.0733;0.114005
390;47.1854;0.112042
391;47.3015;0.116029
392;47.4156;0.114143
393;47.5294;0.113753
394;47.6419;0.112386
395;47.7658;0.123946
396;47.8894;0.123542
397;48.0047;0.115215
398;48.1178;0.113087
399;48.2313;0.11357
400;48.3436;0.112179
401;48.4601;0.116533
402;48.5716;0.111482
403;48.6878;0.116137
404;48.8135;0.125729
405;48.937;0.123462
406;49.0535;0.116477
407;49.1679;0.114382
408;49.2819;0.114048
409;49.3965;0.114502
410;49.5102;0.113725
411;49.6234;0.113128
412;49.7434;0.120033
413;49.8707;0.127279
414;49.9861;0.115366
415;50.1003;0.114139
416;50.2148;0.114516
417;50.3286;0.113774
418;50.5409;0.212215
419;50.6709;0.129991
420;50.799;0.128079
421;50.9247;0.12569
422;51.0368;0.112079
423;51.1512;0.11435
424;51.2652;0.113955
425;51.3789;0.113728
426;51.4924;0.113404
427;51.6072;0.114836
428;51.7245;0.117221
429;51.8511;0.126595
430;51.9699;0.11876
431;52.0851;0.11525
432;52.1967;0.111515
433;52.312;0.115253
434;52.525;0.212982
435;52.65;0.125032
436;52.7695;0.119396
437;52.8856;0.116082
438;52.9999;0.114281
439;53.1137;0.11386
440;53.2282;0.11446
441;53.3405;0.112268
442;53.4543;0.113767
443;53.5683;0.114021
444;53.6816;0.113188
445;53.8121;0.130253
446;53.9255;0.113333
447;54.0393;0.113818
448;54.1538;0.114428
449;54.2691;0.115208
450;54.3833;0.114189
451;54.5024;0.11905
452;54.6201;0.117704
453;54.7393;0.119175
454;54.8554;0.116068
455;54.9704;0.114968
456;55.0848;0.114394
457;55.1987;0.113883
458;55.3123;0.113565
459;55.4248;0.11241
460;55.5383;0.113451
461;55.6524;0.114042
462;55.7752;0.12279
463;55.8886;0.113361
464;56.0021;0.113471
465;56.1159;0.113729
466;56.2279;0.112035
467;56.3953;0.16736
468;56.5609;0.165519
469;56.6789;0.117931
470;56.7979;0.119023
471;56.9119;0.113926
472;57.0248;0.11286
473;57.1378;0.112917
474;57.2516;0.113819
475;57.3651;0.113404
476;57.4792;0.114172
477;57.5939;0.114654
478;57.7067;0.11276
479;57.8249;0.118147
480;57.9372;0.112239
481;58.0516;0.114421
482;58.1665;0.114853
483;58.2802;0.113691
484;58.4831;0.202889
485;58.604;0.120789
486;58.7205;0.116479
487;58.84;0.119453
488;58.9553;0.115301
489;59.0674;0.112016
490;59.1821;0.114703
491;59.2956;0.113444
492;59.41;0.114354
493;59.5234;0.113444
494;59.6377;0.114193
495;59.7551;0.117352
496;59.8693;0.114168
497;59.9843;0.114974
498;60.0989;0.114618
499;60.2117;0.112694
500;60.3259;0.114242
501;60.4402;0.114212
502;60.5541;0.1139
503;60.6683;0.114142
504;60.812;0.143753
505;60.9598;0.147774
506;61.0753;0.115437
507;61.1889;0.113528
508;61.3036;0.114644
509;61.4176;0.114013
510;61.5311;0.113476
511;61.6455;0.11437
512;61.764;0.118399
513;61.8785;0.114525
514;62.001;0.122438
515;62.1256;0.124531
516;62.2741;0.148513
517;62.5177;0.243593
518;62.6774;0.159682
519;62.8214;0.143933
520;62.9371;0.11569
521;63.0523;0.115089
522;63.1662;0.113888
523;63.2806;0.11442
524;63.3968;0.116126
525;63.5174;0.120515
526;63.6292;0.111818
527;63.7494;0.120097
528;63.8661;0.116678
529;63.9809;0.114815
530;64.0952;0.114214
531;64.2125;0.117262
532;64.326;0.113527
533;64.4392;0.113138
534;64.5531;0.113844
535;64.6656;0.112468
536;64.7904;0.12473
537;64.9198;0.129422
538;65.0378;0.117976
539;65.1523;0.114483
540;65.2659;0.113538
541;65.3823;0.116362
542;65.4966;0.114239
543;65.6114;0.114802
544;65.7241;0.112665
545;65.8417;0.117593
546;65.9547;0.11295
547;66.0707;0.115948
548;66.1852;0.114499
549;66.3014;0.116149
550;66.5117;0.210301
551;66.6376;0.12588
552;66.7586;0.120961
553;66.8717;0.11298
554;66.9862;0.11451
555;67.0982;0.111968
556;67.215;0.116757
557;67.3299;0.114891
558;67.4455;0.115574
559;67.5605;0.115002
560;67.6756;0.115085
561;67.8011;0.125426
562;67.9132;0.112115
563;68.0287;0.115485
564;68.141;0.112251
565;68.2564;0.115367
566;68.3711;0.114601
567;68.4855;0.114404
568;68.5999;0.114355
569;68.716;0.115662
570;68.8426;0.12657
571;68.9667;0.124072
572;69.0882;0.121482
573;69.2009;0.112661
574;69.3159;0.114977
575;69.5275;0.211479
576;69.6535;0.12603
577;69.7824;0.128769
578;69.909;0.126584
579;70.0264;0.117369
580;70.1407;0.114373
581;70.2576;0.116859
582;70.3742;0.116457
583;70.4889;0.11467
584;70.6147;0.125808
585;70.7347;0.119962
586;70.8576;0.122834
587;70.9729;0.115237
588;71.087;0.11409
589;71.1996;0.112543
590;71.3153;0.115671
591;71.5294;0.214099
592;71.6574;0.127924
593;71.7773;0.119882
594;71.8919;0.114637
595;72.0089;0.116981
596;72.1242;0.115233
597;72.2402;0.115959
598;72.3548;0.114529
599;72.4711;0.116273
600;72.5851;0.113968
601;72.6981;0.112924
602;72.8212;0.12303
603;72.9333;0.11212
604;73.0478;0.114471
605;73.1628;0.115
606;73.2798;0.116887
607;73.3941;0.114255
608;73.5077;0.113616
609;73.6231;0.115316
610;73.7423;0.119165
611;73.8672;0.12498
612;73.9801;0.112797
613;74.0949;0.114804
614;74.2103;0.115391
615;74.3251;0.114745
616;74.4415;0.116392
617;74.5565;0.114911
618;74.669;0.112498
619;74.7928;0.12372
620;74.919;0.126183
621;75.0372;0.118203
622;75.1512;0.114011
623;75.2671;0.115779
624;75.4718;0.204715
625;75.5954;0.123523
626;75.7093;0.113884
627;75.8377;0.128385
628;75.9549;0.117119
629;76.0671;0.112227
630;76.1859;0.118717
631;76.2983;0.112357
632;76.4141;0.115779
633;76.529;0.114927
634;76.6441;0.115012
635;76.7656;0.121425
636;76.8789;0.113287
637;76.9955;0.116561
638;77.1102;0.114664
639;77.2255;0.115249
640;77.3376;0.112086
641;77.4522;0.114556
642;77.5696;0.11733
643;77.6846;0.114962
644;77.8085;0.123909
645;77.9239;0.115355
646;78.0404;0.116449
647;78.1575;0.117087
648;78.2727;0.115122
649;78.3866;0.113875
650;78.5005;0.113915
651;78.6168;0.116207
652;78.7338;0.116961
653;78.8507;0.116926
654;78.9656;0.114874
655;79.0803;0.114575
656;79.1951;0.114792
657;79.3099;0.114819
